"Date","Open","High","Low","Close","Volume","OpenInt"
10/15/1999,1288.20,1288.20,1288.20,1288.20,1,2498
10/18/1999,1279.80,1296.60,1279.80,1296.60,33,2473
10/19/1999,1306.00,1306.00,1306.00,1306.00,102,2479
10/20/1999,1324.90,1324.90,1324.90,1324.90,122,2537
10/21/1999,1328.10,1328.10,1328.10,1328.10,59,2547
10/22/1999,1334.00,1343.00,1334.00,1339.90,33,2556
10/25/1999,1330.80,1336.00,1330.80,1333.20,7,2552
10/26/1999,1317.50,1317.50,1317.50,1317.50,25,2552
10/27/1999,1337.50,1337.50,1337.50,1337.50,7,2557
10/28/1999,1364.10,1383.80,1364.10,1383.80,137,2569
10/29/1999,1394.00,1414.00,1394.00,1409.90,109,2574
11/01/1999,1396.00,1396.00,1396.00,1396.00,25,2579
11/02/1999,1385.70,1385.70,1385.70,1385.70,122,2581
11/03/1999,1389.80,1393.70,1389.80,1393.70,9,2586
11/04/1999,1401.80,1401.80,1401.80,1401.80,12,2586
11/05/1999,1422.00,1422.00,1417.80,1417.80,9,2594
11/08/1999,1416.40,1416.40,1416.40,1416.40,7,2594
11/09/1999,1405.10,1405.10,1405.10,1405.10,1,2594
11/10/1999,1413.60,1413.60,1413.60,1413.60,47,2603
11/11/1999,1421.50,1421.50,1421.50,1421.50,60,2645
11/12/1999,1434.00,1435.40,1434.00,1435.40,27,2647
11/15/1999,1436.80,1436.80,1436.80,1436.80,35,2635
11/16/1999,1454.00,1466.00,1454.00,1466.00,2,2635
11/17/1999,1452.70,1452.70,1452.70,1452.70,177,2781
11/18/1999,1461.00,1463.70,1461.00,1463.70,285,2847
11/19/1999,1462.90,1462.90,1462.90,1462.90,30,2843
11/22/1999,1462.70,1462.70,1462.70,1462.70,22,2845
11/23/1999,1447.40,1447.40,1447.40,1447.40,5,2850
11/24/1999,1457.00,1457.00,1457.00,1457.00,0,2850
11/26/1999,1450.20,1450.20,1450.20,1450.20,29,2821
11/29/1999,1445.70,1445.70,1445.70,1445.70,564,3389
11/30/1999,1433.80,1433.80,1426.40,1426.40,1062,4190
12/01/1999,1426.50,1437.80,1426.50,1437.80,1219,4746
12/02/1999,1442.50,1448.00,1442.50,1448.00,852,5192
12/03/1999,1469.00,1474.80,1469.00,1474.80,1274,5508
12/06/1999,1461.60,1461.60,1461.60,1461.60,550,5907
12/07/1999,1453.90,1453.90,1451.90,1451.90,549,6160
12/08/1999,1441.60,1441.60,1441.60,1441.60,508,6593
12/09/1999,1446.50,1446.50,1446.50,1446.50,383,6790
12/10/1999,1452.50,1452.50,1452.50,1452.50,362,6857
12/13/1999,1454.20,1454.20,1454.20,1454.20,1196,7471
12/14/1999,1442.90,1442.90,1442.90,1442.90,248,7532
12/15/1999,1433.50,1446.40,1433.50,1446.40,643,7863
12/16/1999,1455.20,1455.20,1455.20,1455.20,252,7911
12/17/1999,1464.00,1467.00,1458.50,1462.50,9,7912
12/20/1999,1466.50,1466.50,1453.00,1453.00,93,7977
12/21/1999,1469.50,1472.70,1469.50,1472.70,969,8342
12/22/1999,1471.50,1475.70,1467.00,1475.70,93,8316
12/23/1999,1484.00,1499.00,1484.00,1499.00,1004,8611
12/27/1999,1496.40,1496.40,1496.40,1496.40,819,8642
12/28/1999,1497.30,1497.30,1497.30,1497.30,220,8649
12/29/1999,1499.80,1500.90,1497.00,1500.90,222,8602
12/30/1999,1499.50,1499.50,1499.50,1499.50,410,8431
12/31/1999,1498.00,1503.10,1497.50,1503.10,94,1
01/03/2000,1514.50,1514.50,1474.00,1485.70,557,8622
01/04/2000,1467.50,1472.00,1428.00,1430.00,628,8524
01/05/2000,1426.00,1442.50,1416.00,1431.80,564,8574
01/06/2000,1428.00,1444.00,1422.10,1422.10,278,8616
01/07/2000,1442.50,1479.30,1442.50,1479.30,279,8593
